	P03_delta11	P06_delta11	P09_delta11	P12_delta11	P14_delta11	P17_delta11	P19_delta11	P22_delta11	P25_delta11	P28_delta11	P31_delta11	P01_mock	P04_mock	P07_mock	P10_mock	P15_mock	P20_mock	P23_mock	P26_mock	P29_mock
5_8S_rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5S_rRNA	0	0	0	0	0	0	0.444444444444444	0	0	0	0	0	0	0	0	0	0	0.111111111111111	0	0
7SK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1BG	4	3	0	0	1	2	3	0	8	0	0	2	0	0	0	3	4	1	0	0
A1BG-AS1	40	9	14	0	0	0	7	0	67	0	9	6	15	4	0	4	5	49	0	4
A1CF	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
A2M	25	5	1	0	0	0	3	0	15	0	0	11	5	10	0	0	0	59	0	0
A2M-AS1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A4GALT	49	9	46	0	0	4	12	0	144	0	4	7	9	4	3	0	0	56	0	0
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	427	178	144	19	15	100	413	12	1149	0	49	96	155	31	6	10	3	482	0	32
AACS	253	113	89	0	8	61	167	3	319	0	30	51	99	12	1	8	17	195	0	7
AACSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAGAB	261	115	106	8	4	82	229	0	671	0	38	71	85	20	13	8	0	423	0	12
AAK1	156	66	42	6	21	29	30	19	162	26	21	48	68	7	15	6	18	191	36	26
AAMDC	17	3	1	0	1	0	5	0	61	0	0	0	3	1	0	0	0	34	0	0
AAMP	655	213	317	42	27	165	601	33	1424	24	105	198	211	96	33	63	34	833	46	67
AANAT	4	2	1	0	0	12	12	0	0	0	9	1	0	0	0	4	2	3	0	0
AAR2	231	83	110	5	11	84	239	3	622	0	16	67	65	23	0	25	9	318	0	7
AARD	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
AARS1	1649	1057	498	61	43	355	950	38	3128	39	211	252	798	95	39	111	36	1249	44	202
AARS1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARS2	230	88	75	0	20	68	190	1	433	0	27	39	64	5	8	14	8	248	0	7
AARSD1	13	0	2	0	0	3	35	0	22	0	0	2	5	0	0	5	2	13	0	0
AASDH	67	47	21	0	4	19	106	0	63	0	16	17	29	6	5	4	0	115	0	6
AASDHPPT	120	81	46	6	0	61	114	0	91	0	16	56	70	6	14	3	2	142	0	16
AASS	12	12	5	5	5	28	86	0	25	0	1	9	3	3	7	14	8	29	0	18
