"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",1.08722228066097,-0.472390330877469,1.09248369811021,-0.432400347661584,0.66545046548296,0.978811965636567
"A1BG-AS1",5.34587607478264,-0.073330469977257,0.846820337088468,-0.0865950742626014,0.93099338136276,0.991578794463533
"A2M",2.63009288332928,-1.46794070842484,1.16898443946002,-1.25574016118035,0.209210193181404,0.978811965636567
"A4GALT",7.36276134614777,0.921441595469013,1.0275543199058,0.896732734823674,0.369861548661867,0.978811965636567
"AAAS",73.8332546432911,1.04895420014872,0.733538965903936,1.42999111009202,0.152719570574193,0.978811965636567
"AACS",31.2999582206101,0.68948144997744,0.721277041846603,0.955917643257075,0.339113844480638,0.978811965636567
"AAGAB",47.7381115284709,0.60394843098134,0.862689793550844,0.700076012833627,0.483879835096528,0.978811965636567
"AAK1",34.5949404586973,-0.188131965191156,0.422458294227665,-0.445326716889528,0.65608366309527,0.978811965636567
"AAMDC",0.708529676159913,1.00058213808774,1.22826171233041,0.814632686212544,0.415282594776794,0.978811965636567
"AAMP",140.664577901434,0.40320109882459,0.444346988832752,0.907401442921337,0.364194546676704,0.978811965636567
"AANAT",1.68249413147214,1.03143923143603,1.15999279033456,0.88917727767821,0.373907812501782,0.978811965636567
"AAR2",40.3745034051913,0.876543269317566,0.741354644175131,1.18235351488605,0.237065459727729,0.978811965636567
"AARS1",271.390427052315,0.652781406884059,0.516051125204368,1.26495491435184,0.205887490286663,0.978811965636567
"AARS2",34.0834341673681,0.788375316196176,0.750277151992623,1.05077878768182,0.293360200386367,0.978811965636567
"AARSD1",2.01826018531927,0.26944073488921,1.07069989170253,0.25164916609898,0.801312252186418,0.983729165793554
"AASDH",12.6958495001664,0.199533473583852,0.752288283948984,0.265235386275646,0.790828136481397,0.98370451714233
"AASDHPPT",24.6439329454873,-0.158961072306978,0.80555114227386,-0.197332067407008,0.843567686519318,0.98684545906132
"AASS",11.6058768060794,-0.448068565539098,0.780493568471341,-0.574083610216899,0.565911223717542,0.978811965636567
"AATBC",0.352277119489118,0.41320321294096,1.76101604229206,0.234639096417971,0.81448886198476,0.983729165793554
"AATF",94.3599975726799,0.737070408514571,0.788474847327785,0.934805226840871,0.349888685430305,0.978811965636567
"AATK",1.3530768152203,0.459710603976994,1.17344768296895,0.391760630362212,0.695235086899932,0.978811965636567
"ABALON",0.252844801012961,0.118038526073203,1.82635455506229,0.0646306741185731,0.948468061344683,0.993652766462153
"ABAT",17.4487295434681,1.13356151056745,0.650026811660533,1.74386885315037,0.0811819609054508,0.978811965636567
"ABCA1",7.74781461932074,-2.20213443304515,0.946642186507274,-2.32625850023665,0.0200047645019584,0.978811965636567
"ABCA10",0.897712613791696,0.812094826960144,1.09914736158952,0.738840719033107,0.460003722826315,0.978811965636567
"ABCA11P",0.472061248009472,-0.570708188869587,1.66933173380509,-0.341878236250089,0.732442528803936,0.97951059795064
"ABCA2",70.1627490239075,-0.390364149608925,0.3490897914251,-1.11823421709162,0.263466973968954,0.978811965636567
"ABCA3",7.55531773262036,0.17529811645375,0.813779490449801,0.215412305803944,0.829445876562812,0.985260185351866
"ABCA4",1.26625010381405,0.181054621215842,1.24554387220341,0.145361897927811,0.884425146137856,0.988658143431412
"ABCA5",32.5340890165749,-0.0519625170806635,0.450022299442817,-0.115466538313767,0.908075341601301,0.990293946893856
"ABCA6",5.32074409645676,1.44176382904282,0.901178622294905,1.59986465876352,0.109628610975917,0.978811965636567
"ABCA7",269.949923937928,0.636625140631517,0.743948781214872,0.85573786355548,0.392142791660516,0.978811965636567
"ABCA9",1.18143346805304,0.745159857183222,1.33764201028498,0.557069717797265,0.577479796449523,0.978811965636567
"ABCB1",16.7122319990859,0.619106803434377,0.62022297212092,0.998200375128438,0.318182204588969,0.978811965636567
"ABCB10",24.7080677075922,0.123388289605141,0.721208346819784,0.171085498593062,0.864156538204986,0.987502061709753
"ABCB4",22.1960449337246,0.65288403357069,0.801146798586518,0.814936831455345,0.415108469172226,0.978811965636567
"ABCB6",1.22080426846387,0.267820883173751,1.08526567528201,0.246779096836502,0.805079188560054,0.983729165793554
"ABCB7",60.3684080510509,0.413770381704106,0.325630582926288,1.27067420383475,0.203844576371611,0.978811965636567
"ABCB8",40.5731410084719,0.960435549469907,0.76554955491856,1.25457005793972,0.209634878628069,0.978811965636567
"ABCB9",18.2854820410141,0.211206936153826,0.608118224766979,0.3473122948005,0.728356715105151,0.979331282212686
"ABCC1",44.0602643586624,0.040811343145207,0.689065820378916,0.0592270606641974,0.952771256177023,0.99448637630735
"ABCC10",31.6554595677524,0.508279070505081,0.814309716197382,0.624183968820383,0.532506773803606,0.978811965636567
"ABCC2",7.05732823106931,1.07334960203644,0.773254972134694,1.38809272583568,0.165108811325013,0.978811965636567
"ABCC4",4.95053918158756,0.0717880277285428,0.89013345942432,0.0806486116980375,0.935721405540323,0.991578794463533
"ABCC5",137.089810501264,-0.435217656544206,0.430741663300954,-1.01039136360516,0.312307823937825,0.978811965636567
"ABCD1",13.613888026123,0.324602890502001,0.787475483929392,0.412206979298299,0.680187722032022,0.978811965636567
"ABCD2",1.59374748962072,-0.571629098707307,1.38590950441628,-0.412457737598147,0.680003951258542,0.978811965636567
"ABCD3",43.3423443943498,-0.328388651999386,0.255154965835461,-1.28701650357513,0.198088535892265,0.978811965636567
