pathway	pval	padj	log2err	ES	NES	size	leadingEdge
BIOCARTA_41BB_PATHWAY	0.861557326793378	0.951033379517033	0.00938790199284014	0.24024551609081	0.699685546195846	17	IFNG TNFSF9 MAP3K1 NFKB1 RELA
BIOCARTA_ACE2_PATHWAY	0.0125869493209672	0.099789055281463	0.235141995561108	-0.774935754497389	-1.80829557220373	5	COL4A3 COL4A5
BIOCARTA_ACETAMINOPHEN_PATHWAY	0.0991101564897208	0.35062208637031	0.0790299034720993	-0.666244996433056	-1.42059967378523	4	PTGS2 PTGS1
BIOCARTA_ACH_PATHWAY	0.81031190324634	0.924317523750907	0.0109041915707876	0.274527590439955	0.743479233961191	13	BAD PIK3CG AKT1 PTK2B PIK3R1 CHRNB1 CHRNG
BIOCARTA_ACTINY_PATHWAY	0.306289881494986	0.609711650458072	0.0260191746680826	0.439254415071965	1.13665039370374	11	WASF1 RAC1 WASF2 ABI2 PIR PSMA7
BIOCARTA_AGPCR_PATHWAY	0.320253164556962	0.623442740848628	0.05035804219297	-0.351989364070914	-1.08773824507002	10	GNAS PRKCA PRKAR2B ARRB1
BIOCARTA_AGR_PATHWAY	0.122864651773982	0.386000186280059	0.104651813957764	-0.305227187376087	-1.2795309449362	25	DMD CTTN NRG1 ITGB1 CDC42 DAG1 DVL1
BIOCARTA_AHSP_PATHWAY	0.0946263296035364	0.343245317269102	0.0532220567988579	0.604371641418128	1.37124986913808	7	HMBS ALAS1 ALAD FECH
BIOCARTA_AKAP13_PATHWAY	0.105485232067511	0.359403254972875	0.0901888162992841	-0.442507960717336	-1.36746413884034	10	GNA12 RHOA PRKAR2B LPAR1
BIOCARTA_AKAP95_PATHWAY	0.764556962025316	0.903452529032393	0.0306732603982164	-0.253849683519606	-0.784461229367057	10	DDX5 PPP2CA PRKAR2B
BIOCARTA_AKAPCENTROSOME_PATHWAY	0.830681094844048	0.93328373015873	0.0105300382109362	0.266727509281338	0.722354951497087	13	NUP85 PKN1 PRKAR2A PRKCE PCNT CDK1
BIOCARTA_AKT_PATHWAY	0.723216444981862	0.88191114850366	0.0118279086053257	0.272083542240206	0.821259077040248	20	IKBKG BAD CASP9 PIK3CG AKT1 NFKB1 RELA
BIOCARTA_ALK_PATHWAY	0.00173471967200754	0.0232224086043047	0.45505986738723	-0.435001168425297	-1.89456619242949	29	SMAD5 GSK3B TGFB3 SMAD6 ATF2 TGFBR3 MAP3K7 CTNNB1 DVL1 TGFB2 BMP7 SMAD4 TGFBR1
BIOCARTA_ALTERNATIVE_PATHWAY	0.499629245143111	0.761821470218212	0.0202426638131779	0.519200056945696	0.989850027937419	4	C5 CFD C3 CFP
BIOCARTA_AMAN_PATHWAY	0.412814168511525	0.707469551065859	0.021179243520087	0.405764586370399	1.04998939344386	11	ST3GAL4 MAN1A2 MAN2A2 MAN1A1 MAN1C1 ST8SIA4 B3GALT2 FUT4 MAN2B1
BIOCARTA_AMI_PATHWAY	0.0440950920245399	0.219860894380197	0.134050934338562	-0.558349513928731	-1.57795308323259	8	COL4A3 COL4A5 F2R PROC COL4A2 COL4A4
BIOCARTA_ARAP_PATHWAY	0.53071735131821	0.787775469741724	0.0165177745365529	0.331207953274063	0.964602467766246	17	COPA ARFGAP1 ARFGEF2 ARFGAP3 CLTB ARAP1 ARAP2 CYTH4 CYTH3 GPLD1 CYTH1
BIOCARTA_ARENRF2_PATHWAY	0.792966534316506	0.9145547496398	0.0357942052673273	-0.204830144409743	-0.787673892157929	19	PRKCA MAFF CREB1 FOS
BIOCARTA_ARF_PATHWAY	0.027835683629675	0.167717319048695	0.0947688008055759	0.527300403446477	1.53569763464506	17	ABL1 POLR1B POLR1C E2F1 RAC1 POLR1D PIK3CG POLR1A TP53 RB1 CDKN2A PIK3R1 MDM2
BIOCARTA_ASBCELL_PATHWAY	0.803883744855967	0.921170269548973	0.0111743413790823	0.281972148636601	0.747153338805912	12	IL10 CD40
BIOCARTA_AT1R_PATHWAY	0.373917170997983	0.678024065864471	0.0212725338330706	0.344037746667109	1.08237428710105	24	MAPK3 RAC1 MAP2K2 SHC1 RAF1 GRB2 MAP3K1 MAPK1 CALM3 HRAS ELK1 PTK2B PRKCB
BIOCARTA_ATM_PATHWAY	0.0464328899637243	0.225486353811034	0.0722438159950612	0.48588314944548	1.46659347190768	20	ABL1 NBN BRCA1 RAD51 TP53 CHEK1 NFKB1 RBBP8 MRE11 RELA
BIOCARTA_ATRBRCA_PATHWAY	0.0373764166867615	0.198634264588384	0.080726747877111	0.487379898919278	1.48628961343778	21	ATR NBN BRCA1 RAD17 FANCC FANCE RAD51 TP53 CHEK1 MRE11 FANCD2 RAD9A
BIOCARTA_BAD_PATHWAY	0.495780081986979	0.75918889814495	0.0172657047497692	0.326516551492659	0.995728712191799	21	MAPK3 RPS6KA1 BAD CSF2RB PIK3CG MAPK1 AKT1 BCL2 PRKAR2A BAX PRKAR1B PIK3R1
BIOCARTA_BARD1_PATHWAY	0.129429266973222	0.395774058404402	0.0443610124692024	0.555035775315223	1.31475114314425	8	BRCA1 FANCC FANCE BARD1 FANCD2 FANCA FANCG
BIOCARTA_BARRESTIN_PATHWAY	0.243459915611814	0.550816030419773	0.0583286073011756	-0.381125585224463	-1.17777671015032	10	GNAS DNM1 ARRB1 AP2M1
BIOCARTA_BARRESTIN_SRC_PATHWAY	0.552339363693076	0.796771803875797	0.0161888846368252	0.336608624054109	0.949428913163413	15	HCK MAPK3 MAP2K2 RAF1 MAPK1 HRAS GRK2
BIOCARTA_BARR_MAPK_PATHWAY	0.753986625514403	0.899878950050968	0.012120415165534	0.299200777480816	0.792804753763891	12	MAPK3 MAP2K2 RAF1 MAPK1
BIOCARTA_BBCELL_PATHWAY	0.137862534763607	0.407277054487147	0.0761492365370591	-0.441372487235166	-1.31365992612687	9	CD40LG CD28 HLA-DRA CD4 FAS FASLG
BIOCARTA_BCELLSURVIVAL_PATHWAY	0.431815346225827	0.71820226416163	0.0198327586569781	0.368002743586533	1.03797829264277	15	DPF2 CCT4 BIRC5 PIK3CG AKT1 PIK3R1 CASP3 XIAP
BIOCARTA_BCR_PATHWAY	0.119432039390816	0.38191563881175	0.0422893646614475	0.38742141029047	1.30040783591164	33	NFATC4 LYN MAPK3 PPP3CC SYK RAC1 BTK SHC1 RAF1 GRB2 MAP3K1 CD79A CALM3 HRAS NFATC2 NFATC1 ELK1 PRKCB CD79B
BIOCARTA_BIOPEPTIDES_PATHWAY	0.178301886792453	0.466959141251144	0.034189115358795	0.391890015389408	1.24496880722756	25	MAPK3 STAT3 MAP2K2 JAK2 SHC1 RAF1 GRB2 MAPK1 CALM3 STAT5A HRAS GNA11 PTK2B PRKCB
BIOCARTA_BLYMPHOCYTE_PATHWAY	0.74022633744856	0.892387437985585	0.0123897059436458	0.303609767696191	0.804487438653544	12	CD40 CD80 ITGB2 FCGR2B ICAM1 ITGAL PTPRC CR2 HLA-DRB1 HLA-DRB5
BIOCARTA_BOTULIN_PATHWAY	0.516301292861158	0.775264585607888	0.0304172331732918	-0.494613484681276	-0.93660123532779	3	STX1A CHRNA1 VAMP2
BIOCARTA_BTG2_PATHWAY	0.567535070140281	0.804698028569135	0.0167897478339377	0.381543391110179	0.934202784946333	9	PRMT1 CHAF1A CHAF1B TP53 RB1 BTG2
BIOCARTA_CACAM_PATHWAY	0.0242352006356774	0.155733643301719	0.184915881971771	-0.582334421266087	-1.73320588606138	9	CAMK1 CALM2 CALM1 CREB1
BIOCARTA_CALCINEURIN_PATHWAY	0.14420410427066	0.414786076806662	0.0883886491452962	-0.339532747165088	-1.27927864285803	18	CALM2 CALM1 PPP3CB PRKCA GNAQ PPP3CA SP3 PLCG1 MARCKS
BIOCARTA_CARDIACEGF_PATHWAY	0.904835390946502	0.967858324160481	0.00936544777060675	0.244643208085213	0.648241291279539	12	EDN1 NFKB1 HRAS RELA PRKCB
BIOCARTA_CARM1_PATHWAY	0.640981489453293	0.84112288987406	0.0344988851058263	-0.269228747174176	-0.861146092642948	11	CREB1 PRKAR2B RARA PRKACB RXRA CARM1 PRKAR1A EP300 PRKAR1B PRKAR2A CREBBP
BIOCARTA_CARM_ER_PATHWAY	0.757564969740121	0.900768983546417	0.0108594668516925	0.254245770428077	0.799880499106451	24	BRCA1 PELP1 PHB2 NCOR2 SRA1 MEF2C CREBBP ESR1 HDAC1 GTF2A1 SPEN TBP
BIOCARTA_CASPASE_PATHWAY	0.433925997116771	0.718380366922753	0.0191882918008837	0.336755177341093	1.03701735440382	22	DFFA LMNB1 CASP9 APAF1 PARP1 ARHGDIB CASP10 CASP4 CASP3 XIAP CASP6 LMNB2
BIOCARTA_CB1R_PATHWAY	0.872101194659171	0.953559915471394	0.0112842679039362	0.322188442620969	0.694742773776944	6	CNR1 PLD3 CNR2 PLD2
BIOCARTA_CBL_PATHWAY	0.561181434599156	0.802248384526866	0.0368429241819019	-0.292557037182154	-0.904076971323742	10	PRKCA SH3GLB1 SH3KBP1 CSF1R
BIOCARTA_CCR3_PATHWAY	0.423236514522822	0.715185352317088	0.0484162612636226	-0.276217611474255	-1.00900445951284	16	GNAS PRKCA GNAQ RHOA ROCK2
BIOCARTA_CCR5_PATHWAY	0.0274896265560166	0.166684981362965	0.198584486969905	-0.45898971197548	-1.67665871767536	16	CALM2 CALM1 PRKCA GNAQ FOS CCL2
BIOCARTA_CD40_PATHWAY	0.725514660012477	0.882596685082873	0.0122407239915517	0.289565769295311	0.816741146795995	15	IKBKG CD40 MAP3K1 NFKB1 RELA ELP1 MAP3K14
BIOCARTA_CDC25_PATHWAY	0.372268573698848	0.67695338779433	0.0448817432190029	-0.350284167665098	-1.04255314303987	9	MYT1 YWHAH
BIOCARTA_CDC42RAC_PATHWAY	0.1875	0.476639175548832	0.0636600886299947	-0.43951599134011	-1.24211734113496	8	RHOA CDC42 WASL PIK3CA PDGFRA
BIOCARTA_CDK5_PATHWAY	0.00372942386831276	0.0432130004498426	0.269842314478839	0.661942958449084	1.75397780914061	12	DPM2 MAPK3 MAP2K2 NGFR RAF1 MAPK1 KLK2 HRAS CDK5R1
BIOCARTA_CDMAC_PATHWAY	0.663880224578915	0.85317701066226	0.013530392137031	0.306561329192695	0.86467834985287	15	MAPK3 RAF1 MAPK1 NFKB1 HRAS RELA PRKCB TNF MYC PLCB1
BIOCARTA_CELL2CELL_PATHWAY	0.10295358649789	0.355432044097662	0.0913212902305258	-0.444284620476748	-1.37295447737341	10	ACTN2 VCL ACTN3 CTNNB1 ACTN1 CTNNA1
