pathway	pval	padj	log2err	ES	NES	size	leadingEdge
KEGG_ABC_TRANSPORTERS	0.424964936886396	0.611422980858067	0.0568270285718809	-0.232184072195846	-1.01432033418621	28	ABCA1 ABCD3 ABCA2 ABCC5
KEGG_ACUTE_MYELOID_LEUKEMIA	0.085992428339643	0.227042253521127	0.0491079929978342	0.358076044550926	1.32197705645469	56	JUP AKT3 EIF4EBP1 MAPK3 SPI1 STAT3 IKBKG CCNA1 MAP2K2 BAD RAF1 GRB2 ARAF PIK3CG MAPK1 AKT1 TCF7L1 AKT2 NRAS PIK3R3 STAT5A NFKB1 HRAS PIK3R5 RPS6KB2 RELA
KEGG_ADHERENS_JUNCTION	0.102773246329527	0.241972453383443	0.181914998907505	-0.228405986758285	-1.2225529518592	66	NECTIN3 NLK TCF7L2 FGFR1 ACTN2 PTPRF IGF1R TCF7 RHOA CDC42 SORBS1 MAP3K7 CSNK2A1 WASL VCL ACTN3 CTNNB1 PTPRM CSNK2A2 LEF1 ACTN1 BAIAP2
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.561409214092141	0.708222387900735	0.0139211557820877	0.259846074016429	0.953792531327694	54	AKT3 POMC STAT3 IKBKG JAK2 NFKBIB AKT1 AKT2 ACSL5 NFKB1 RELA PRKAB2 MAPK10 NFKBIE PCK2 IRS1 SLC2A1 CAMKK2 STK11 TRAF2 PPARA ADIPOR2 TNF
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.0642857142857143	0.189795918367347	0.0598876344343645	0.441418138567515	1.41255905980881	26	ABAT GOT1 ASNS CAD GPT2 ASL GOT2 ADSL ALDH4A1 GFPT1
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.982693754702784	0.988005612836313	0.0372314563761761	-0.134708588450655	-0.596200424752644	30	SFN PRKCA KRAS NR3C2 PIK3CB PIK3CA ATP1A2 SLC9A3R2 ATP1B2
KEGG_ALLOGRAFT_REJECTION	0.713944766450733	0.804523577338073	0.0111005650985874	0.249567091827629	0.840732418592065	33	IL10 IL12A IFNG CD40 HLA-C
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	0.020875150541951	0.0924470952572117	0.114790404232843	0.650821322778568	1.5822551075801	9	PLA2G4B FADS2 PLA2G6 PLA2G12A
KEGG_ALZHEIMERS_DISEASE	6.27291390381824e-06	0.000166680283730028	0.610526878385931	0.419817328256158	1.73648486313082	148	NDUFA6 NDUFA3 PSENEN ATP5PO NDUFA2 ATP5PF HSD17B10 UQCRC1 COX7B NDUFB1 NDUFV1 NDUFS5 ATP5F1A NDUFB7 CYC1 NDUFA4 MAPK3 PPP3CC ATP5MC2 BACE2 ATP2A3 UQCRQ NDUFS6 COX7A2L BID NDUFS3 UQCR10 NDUFB2 GRIN2C NDUFC1 APBB1 BAD NDUFA1 BACE1 ATF6 COX6A1 NDUFB5 COX6B1 NDUFB10 CAPN1 UQCR11 COX7C CASP9 NDUFB4 COX8A NDUFS8 NDUFV3 NDUFB9 MAPK1 SDHB COX7A2 MT-CYB NDUFA8 COX4I1 ATP5F1D ATP5MC1 MME ATP5PB CALM3 ATP5F1E GRIN2D NDUFS2 APAF1 MT-CO3 ATP5F1C COX5B ITPR2 UQCRH NDUFA9 NDUFB6 CDK5R1 UQCRFS1 MT-ATP6 MT-CO2 NCSTN SDHD
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	0.00613633827959389	0.0380452973334821	0.194887297433682	0.459310816311139	1.60327687969339	40	DARS2 TARS2 YARS1 EPRS1 KARS1 FARS2 AARS1 QARS1 TARS1 FARSA PARS2 FARSB AARS2 EARS2 RARS1 WARS2 LARS2 NARS2 TARS3 MARS1 SEPSECS LARS1 HARS1 IARS1 GARS1 MARS2 WARS1 HARS2 CARS2 CARS1
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.019816229381158	0.0898980162169606	0.107014828121207	0.4242971851091	1.50188109413771	43	NANP HEXA UGDH HEXB GALE GMPPA GNPDA2 GNPNAT1 NANS RENBP GALT CYB5R3 PMM1 NPL TSTA3 MPI GMPPB GFPT1 GNE HK1 CYB5R1 GALK1 FCSK GCK PMM2 GPI PGM1 UAP1 HK3
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.276507971903222	0.463316488158093	0.0251257720879301	0.326569157623512	1.14446908710447	41	PPP3CC TOMM40 BID DAXX RAC1 GRIN2C BAD MAPK12 CASP9 CCS GPX1 TP53 GRIN2D APAF1 BCL2 MAP2K3
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	0.354609929078014	0.545102866186038	0.0901888162992841	-0.197728272805024	-1.04443096274235	61	CTSL HSPA2 KLRD1 NFYB HLA-F CREB1 HLA-DRA
KEGG_APOPTOSIS	0.157662392264032	0.318270030496257	0.0343498975004544	0.313062144197469	1.21406276528639	79	IRAK3 AKT3 DFFA PPP3CC ENDOD1 BID IKBKG IRAK4 BAD EXOG ENDOG CAPN1 CASP9 CSF2RB PIK3CG RIPK1 AKT1 AKT2 TP53 PIK3R3 APAF1 NFKB1 PIK3R5 RELA BCL2 PRKAR2A CFLAR PRKX BAX PIK3CD PRKAR1B MAP3K14 TRAF2 IRAK1 MYD88 CASP10 PIK3R1 CASP3 XIAP TNF
KEGG_ARACHIDONIC_ACID_METABOLISM	0.627243442245743	0.74310369590897	0.0131784289948696	0.27123888481113	0.900784870155769	31	PLA2G4B LTA4H PLA2G6 PLA2G12A PTGES2 GPX1 GGT7 CBR1 GPX7
KEGG_ARGININE_AND_PROLINE_METABOLISM	0.0933214405173375	0.237777916934586	0.0477499829963807	0.38094790964244	1.33504066812539	41	PYCR1 GATM GOT1 CKB GAMT PYCR3 ARG2 ASL GOT2 SAT2 LAP3 SMS ODC1 ALDH4A1 ALDH2 ALDH9A1 ALDH18A1 ALDH1B1
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.000158777539622057	0.00287290887988581	0.518848077743792	-0.370796037104173	-1.93770135296896	56	DMD CACNG7 CACNB4 ITGB5 TCF7L2 ACTN2 CACNG2 ATP2A2 TCF7 CACNA2D2 ITGB1 LMNA ITGA3 DAG1 CACNB3 ACTN3 CTNNB1 CACNA2D1 LEF1 ACTN1 ITGA7 CACNA1D ITGAV
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	0.19593118514473	0.372222488599743	0.0352535154022179	0.530804177368314	1.24527890820756	8	UGDH MIOX ALDH2 ALDH9A1 UGT2B17 ALDH1B1 ALDH3A2
KEGG_ASTHMA	0.907167318982387	0.927105062256726	0.00851550552858311	0.220113892267393	0.647759870887816	18	IL10 CD40 HLA-DOA HLA-DMA TNF IL13 HLA-DPA1 HLA-DRB1 HLA-DRB5 HLA-DQA1 HLA-DMB HLA-DPB1
KEGG_AUTOIMMUNE_THYROID_DISEASE	0.731302256328027	0.814504309443191	0.0108571152062275	0.247498258851975	0.827604915460029	32	IL10 TG CD40 HLA-C
KEGG_AXON_GUIDANCE	0.0051162128465951	0.033322168822975	0.407017918923954	-0.259116667835752	-1.54509562494219	109	EFNA3 EFNB2 EFNB1 GSK3B PTK2 EFNA1 PPP3CB EFNA5 NTN3 PPP3R1 RHOA ITGB1 CDC42 KRAS SEMA6B PPP3CA ROCK2 PLXNB1 SLIT1 ROBO1 CFL2 PLXNA2 NFAT5 SRGAP3 NTNG1 NGEF SEMA4G FYN NTN1 L1CAM EPHB1 SEMA6D
KEGG_BASAL_CELL_CARCINOMA	0.00214964265585992	0.0190396920947593	0.431707695803346	-0.379549017747411	-1.82873142984133	40	WNT2B GSK3B FZD2 PTCH1 TCF7L2 SMO TCF7 GLI3 FZD4 AXIN2 PTCH2 CTNNB1 DVL1 LEF1 WNT10A FZD6
KEGG_BASAL_TRANSCRIPTION_FACTORS	0.430625862862402	0.611422980858067	0.0186552277227946	0.312810993911556	1.03884592627685	31	TAF10 GTF2IRD1 GTF2B GTF2H2 TAF9B TAF6 TAF6L GTF2F2 TAF1 TAF11 TAF5L GTF2A1 GTF2F1 TAF4 TBP
KEGG_BASE_EXCISION_REPAIR	0.00374149659863946	0.0289965986394558	0.252643909566276	0.492786966753236	1.66944624459791	34	HMGB1P1 PARP2 POLE2 NTHL1 FEN1 APEX1 POLL POLB MPG OGG1 PARP4 POLE3 POLE SMUG1 PCNA POLD2 PARP3 POLD1 APEX2 MBD4 POLE4 POLD4 MUTYH NEIL1 PARP1 LIG1
KEGG_BETA_ALANINE_METABOLISM	0.0611947547353084	0.186440677966102	0.062655195332066	0.480410286983426	1.43138911272237	19	ABAT DPYD HIBCH SMS ECHS1 AOC2 HADHA ALDH2 MLYCD ALDH9A1 ALDH1B1 SRM UPB1 ACADM ALDH3A2
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	0.398475314617619	0.588225464435532	0.0205919423936331	0.350942439898943	1.05949079863681	20	FADS2 TECR ELOVL5 ACAA1 HACD2 ACOT4 HADHA HSD17B12 PECR ACOX3 ACOT1
KEGG_BLADDER_CANCER	0.496913233808508	0.655502563747394	0.0161888846368252	0.286144288907679	0.988426652373287	38	CDH1 MAPK3 DAPK3 E2F1 MAP2K2 RAF1 ARAF MAPK1 NRAS TP53 PGF ERBB2 HRAS
KEGG_BUTANOATE_METABOLISM	0.0164854437039635	0.0766573132234304	0.120854561651304	0.483924016739838	1.56097490558875	27	ABAT HMGCL HMGCS1 ACADS ACAT2 PDHA1 L2HGDH ECHS1 BDH2 AACS HADHA HADH ALDH2 ALDH9A1 ACSM3 ALDH1B1 OXCT1 PDHB
