pathway	pval	padj	log2err	ES	NES	size	leadingEdge
BIOCARTA_41BB_PATHWAY	0.429058931618323	0.699722387343419	0.0207043446503391	0.363096102513631	1.03625608724544	17	IFNG TRAF2 TNFSF9
BIOCARTA_ACE2_PATHWAY	0.122371495327103	0.378590740069319	0.0690309620756281	-0.610903775726602	-1.37898482324069	5	COL4A3 COL4A1 COL4A5 COL4A4
BIOCARTA_ACETAMINOPHEN_PATHWAY	0.987228003784295	0.994301167146222	0.0111505161766577	0.272324128021505	0.50930396589248	4	CYP2E1 PTGS1
BIOCARTA_ACH_PATHWAY	0.878343516632722	0.943150135650193	0.0106603689872487	0.254920519489104	0.678522065208545	13	BAD AKT1 RAPSN CHRNB1 TERT PIK3CG PTK2B FOXO3 CHRNG PIK3R1
BIOCARTA_ACTINY_PATHWAY	0.825948490722792	0.920453394322946	0.0118673086600208	0.287735774676074	0.732230689405044	11	RAC1 PSMA7 WASF2
BIOCARTA_AGPCR_PATHWAY	0.379978850898837	0.659043778298225	0.0415155189937178	-0.358695705276422	-1.04722913251738	10	PRKAR2B GNAS PRKCA
BIOCARTA_AGR_PATHWAY	0.5	0.74570467263135	0.0436333153096766	-0.249171555866397	-0.975790555898272	25	DMD DAG1 MAPK8 CDC42 CTTN ITGB1 UTRN JUN AGRN CHRNA1 SP1 NRG1
BIOCARTA_AHSP_PATHWAY	0.000442369135594831	0.010228002514116	0.49849310876659	0.831619266092586	1.85060448436678	7	UROD ALAS1 ALAD HMBS UROS
BIOCARTA_AKAP13_PATHWAY	0.710609799083539	0.863636411179528	0.0287150604792945	-0.276906889084944	-0.808442802572841	10	PRKAR2B RHOA
BIOCARTA_AKAP95_PATHWAY	0.355657384561156	0.637225188404214	0.0430778341543233	-0.364623529738953	-1.06453569732508	10	DDX5 PPP2CA PRKAR2B
BIOCARTA_AKAPCENTROSOME_PATHWAY	0.486916951080774	0.736838180624302	0.0375966592079237	-0.301960121869352	-0.966215656994077	13	PPP2CA PRKAR2B RHOA
BIOCARTA_AKT_PATHWAY	0.842798727850977	0.926420463652783	0.0302358693091482	-0.206377454558453	-0.755277344117024	20	PPP2CA PIK3CA YWHAH
BIOCARTA_ALK_PATHWAY	0.00121472716179608	0.0208579247000492	0.45505986738723	-0.457971376179962	-1.8578141054327	28	GSK3B TGFB3 SMAD6 CTNNB1 SMAD5 NPPA BMPR2 MAP3K7 ATF2 SMAD4 WNT1 APC TGFBR3
BIOCARTA_ALTERNATIVE_PATHWAY	0.333806370230211	0.616533453251955	0.0278437578519039	0.59301974666917	1.10907289422152	4	C5 C3 CFD
BIOCARTA_AMAN_PATHWAY	0.739407366380504	0.88181402637808	0.0134788529943355	0.317095720071385	0.806945948854115	11	ST3GAL4 MAN1A1 MAN2B1 ST8SIA4 MAN1A2 MAN2A2 B3GALT2
BIOCARTA_AMI_PATHWAY	0.217927357547484	0.507552992760875	0.0545603266717044	-0.452166337051737	-1.21578803982424	8	PROC COL4A3 COL4A1 COL4A5 COL4A4
BIOCARTA_ARAP_PATHWAY	0.264076650479066	0.551827811168718	0.0287507956878912	0.412553007582131	1.17740334434559	17	CLTB CYTH4 ARFGEF2 ARFGAP1 GPLD1 ARFGAP3 CYTH3 ARAP1 ARAP2
BIOCARTA_ARENRF2_PATHWAY	0.995244215938303	0.998029089575067	0.00779085359004655	0.15626664238473	0.458928169058688	19	KEAP1 AKR7A2 FXYD2 MAFK CRYZ HMOX1
BIOCARTA_ARF_PATHWAY	0.359233495209345	0.638117986843366	0.0235046544101677	0.38263461937986	1.09201792797635	17	E2F1 RAC1 ABL1 POLR1C MDM2 MYC PIK3CG POLR1B RB1 TP53
