pathway	pval	padj	log2err	ES	NES	size	leadingEdge
KEGG_ABC_TRANSPORTERS	0.623368703500427	0.788752237082173	0.0141119300111292	0.27898722416334	0.901913641459611	29	ABCA6 ABCB7 ABCA7 ABCA9 ABCB8 ABCB6 ABCC2 ABCB9 TAP1 ABCG1 ABCD4
KEGG_ACUTE_MYELOID_LEUKEMIA	0.169012485811578	0.342506393861893	0.0344988851058263	0.336615340133849	1.22588135285336	56	HRAS MAP2K2 JUP ARAF BAD AKT3 SPI1 EIF4EBP1 NRAS PIM1 IKBKG STAT3 STAT5A MTOR MAPK3 GRB2 RPS6KB2 AKT2 TCF7L1 PML PIM2 CCNA1 AKT1 MYC PIK3CD RELA NFKB1 MAP2K1 PIK3CG
KEGG_ADHERENS_JUNCTION	0.0245051837888784	0.093019677239416	0.285313392143872	-0.288687644008681	-1.43387126055919	66	FER IGF1R SORBS1 CSNK2A1 CTNNB1 FGFR1 CTNND1 CSNK2A2 TCF7L2 RHOA NLK CDC42 VCL MAP3K7 TCF7 PTPRM PTPRF SMAD4 ACTN1 WASL EP300 NECTIN3 PTPRB
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.0532693187014175	0.162427758663339	0.0652926206630866	0.382996606166336	1.38470861083571	54	CAMKK1 POMC TRAF2 MAPK10 AKT3 NFKBIE IKBKG STAT3 PCK2 STK11 NFKBIB MTOR CAMKK2 CPT1A AKT2 TRADD AKT1 CPT1B PRKAB2 ADIPOR2 PRKAG1 RELA ACACB NFKB1
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.111855990068281	0.261208079268293	0.0458608917237512	0.420297263282025	1.32690486744295	26	GOT2 IL4I1 ALDH4A1 ABAT CAD ASL NIT2 GOT1 GFPT1 GPT2 PPAT GLS2 GLUL
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.833801235261089	0.912276645638604	0.0345534485302443	-0.188521026975505	-0.775364124593733	30	PIK3CA PRKCA NR3C2 PIK3R3 KRAS IRS1 PIK3CB
KEGG_ALLOGRAFT_REJECTION	0.214612421762157	0.38022035480859	0.0309764734970582	0.360659132746913	1.19669819376179	33	IL10 IFNG CD40 IL12A HLA-E CD86 HLA-B HLA-C HLA-DPB1 HLA-DOB HLA-DPA1 IL2 HLA-DQA2 HLA-DQA1 CD80 HLA-A HLA-DQB1 HLA-DRB1 HLA-F HLA-DRB5 TNF HLA-DMB
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	0.166054786783395	0.342506393861893	0.0395284429316276	0.531124795066772	1.27158138428376	9	FADS2 PLA2G12A PLA2G4B PLA2G2D ACOX3 ACOX1
KEGG_ALZHEIMERS_DISEASE	1.74070455753901e-10	8.0942761925564e-09	0.826657301178302	0.500807115819938	2.05926704018444	148	NDUFV1 NDUFB2 PSENEN NDUFA3 NDUFA6 NDUFS5 NDUFA1 NDUFS3 UQCRC1 COX6B1 SDHB NDUFS6 COX7B CYC1 GRIN2D NDUFB3 NDUFB7 NDUFB9 ATP5F1D NDUFA4 UQCRQ BID ATP5PO NDUFB1 UQCRB ATP5MC1 NDUFS8 BAD COX7A2L NDUFB4 HSD17B10 PPP3CC COX7A2 ATP5MC2 COX4I1 COX7C ATP2A3 UQCRH ATP5F1E NDUFB10 ATP5PF ATP5F1A CAPN1 ATP5PB COX5B COX6A1 NDUFB5 APBB1 NDUFV3 ATP5PD UQCR10 NDUFA2 UQCRFS1 NDUFA5 CALM3 ATP5F1C NDUFA10 MAPK3 COX6C FADD NDUFA8 NDUFB8 COX8A MT-CO2 BACE2 NDUFC1 NDUFA4L2 UQCRHL MT-CO3 GAPDH NCSTN ATP2A1 UQCR11 CYCS SDHA SDHC
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	0.00271945842154643	0.0201480727930372	0.431707695803346	0.49551606594883	1.70749563008552	40	PARS2 AARS1 FARS2 DARS2 QARS1 KARS1 FARSA YARS1 TARS2 HARS1 RARS1 TARS1 NARS2 MARS1 GARS1 EPRS1 LARS2 IARS1 WARS1 RARS2 WARS2 CARS2 LARS1 FARSB HARS2 EARS2 MTFMT VARS1 IARS2 CARS1 AARS2
