pathway	pval	padj	log2err	ES	NES	size	leadingEdge
BIOCARTA_41BB_PATHWAY	0.982785602503912	1	0.0111053176037851	-0.195237900877951	-0.522396210983137	16	MAP3K1 MAPK8 CHUK NFKB1 RELA IKBKB MAP3K5
BIOCARTA_ACE2_PATHWAY	0.0547881058300164	0.788783533683402	0.0933040495921608	0.787005998881634	1.50514699857822	4	COL4A5 COL4A3 ACE
BIOCARTA_ACETAMINOPHEN_PATHWAY	0.0841477949940405	0.848208192496367	0.0754749124038461	0.712828695678976	1.46538951501434	5	PTGS2 PTGS1 CYP2E1
BIOCARTA_ACH_PATHWAY	0.335395373856912	1	0.0382314525118419	0.406257843636724	1.09542304455554	12	RAPSN FOXO3
BIOCARTA_ACTINY_PATHWAY	0.1080907189963	0.905496812644447	0.0537722460118177	-0.564583528849373	-1.37189973368254	11	WASF1 ABI2 NTRK1
BIOCARTA_AGPCR_PATHWAY	0.818927341315401	1	0.0144489671576243	-0.31059193336987	-0.733082068083899	10	PRKCB GRK4
BIOCARTA_AGR_PATHWAY	0.63895486935867	1	0.0275549841954235	0.265410439244068	0.88623881103929	25	DVL1 RAPSN NRG1 NRG2
BIOCARTA_AHSP_PATHWAY	0.28898180029513	1	0.0395475075854499	0.498421943866223	1.15097398945983	7	UROD UROS ALAS1
BIOCARTA_AKAP13_PATHWAY	0.169270166453265	0.975772689916709	0.054250115182477	0.502066902648634	1.29217087570046	10	GNA12 LPAR1 PRKAG1 LPAR2
BIOCARTA_AKAP95_PATHWAY	0.859767098573069	1	0.0137465506948615	-0.294547780483562	-0.695213471012053	10	AKAP8 PRKAR2B DDX5 NCAPD2 PPP2CA PRKACB PRKAR2A
BIOCARTA_AKAPCENTROSOME_PATHWAY	0.736850443599493	1	0.0154735779514473	-0.317744508155993	-0.807861573835569	13	PRKCE PCNT PRKAR2B NUP85 AKAP9 PPP2CA PRKACB PRKAR2A
BIOCARTA_AKT_PATHWAY	0.707885854556612	1	0.0155891309703452	-0.294513896529574	-0.832315737304907	20	CASP9 PDPK1 HSP90AA1 CHUK PIK3CG NFKB1 PIK3R1 RELA IKBKB AKT1 IKBKG FOXO1 PPP2CA PIK3CA
BIOCARTA_ALK_PATHWAY	0.961498283838233	1	0.0107211022799965	-0.200790023378451	-0.607878241182379	27	FZD1 WNT1 BMP4 MEF2C NPPA NOG BMPR2 APC CTNNB1
BIOCARTA_ALTERNATIVE_PATHWAY	0.0351205806602669	0.65765008883441	0.117106883409404	0.811554352815945	1.5520956638956	4	C3 C5 CFD
BIOCARTA_AMAN_PATHWAY	0.887978863936592	1	0.0202789642388733	0.259027149062076	0.680524042377665	11	ST3GAL4 MAN2B1 MAN1A1 FUT7
BIOCARTA_AMI_PATHWAY	0.0248401377274963	0.608022071307301	0.143184642183776	0.71827994907967	1.65867805122787	7	COL4A5 F2R COL4A3
BIOCARTA_ARAP_PATHWAY	0.664053751399776	1	0.0258753313940948	0.285144388856996	0.856803043775513	17	ASAP2 CLTB CYTH4 GPLD1
BIOCARTA_ARENRF2_PATHWAY	0.829208301306687	1	0.0133332936893071	-0.265266735480473	-0.741172481237674	19	PRKCB MAPK1 MAPK8 HMOX2
BIOCARTA_ARF_PATHWAY	0.0259720062208398	0.608022071307301	0.110871775183071	-0.572711268008278	-1.5585718860715	17	POLR1B ABL1 POLR1D POLR1A POLR1C TP53 PIK3CG TWIST1 CDKN2A PIK3R1
BIOCARTA_ASBCELL_PATHWAY	0.169616908850727	0.975808120195445	0.0551036070153613	0.486153268217617	1.2772367240288	11	CD40LG HLA-DRA CD4 CD28
BIOCARTA_AT1R_PATHWAY	0.532422171602126	1	0.0196371415963502	-0.323396401114191	-0.950777478343665	24	MAP3K1 PRKCB MAPK1 RAF1 MAPK8 SOS1 MAPK3 ELK1 PTK2B
BIOCARTA_ATM_PATHWAY	0.931420681190549	1	0.0116077414036267	-0.224470109526701	-0.634367365734366	20	ABL1 NBN MAPK8 RBBP8 BRCA1 TP53 ATM MRE11 NFKB1 RELA
BIOCARTA_ATRBRCA_PATHWAY	0.427038626609442	1	0.0232182918027764	-0.359145413785103	-1.02610258581603	21	NBN FANCD2 RAD17 ATR BRCA2 BRCA1 TP53 ATM MRE11 FANCE
BIOCARTA_BAD_PATHWAY	0.573335355680267	1	0.0185087293889524	-0.318654691389335	-0.921510155864418	22	MAPK1 KITLG PIK3CG MAPK3 BCL2 IGF1R PRKAR2B PIK3R1 KIT IL3 AKT1 CSF2RB RPS6KA1 PIK3CA PRKACB PRKAR2A
BIOCARTA_BARD1_PATHWAY	0.581550802139037	1	0.0197497844171305	-0.416601651403129	-0.920974960289491	8	BARD1 FANCD2 BRCA1 FANCE FANCC
BIOCARTA_BARRESTIN_PATHWAY	0.986386747580777	1	0.011746896467245	-0.207708534111715	-0.490249054742716	10	PPARA KCNA2
BIOCARTA_BARRESTIN_SRC_PATHWAY	0.955834242093784	1	0.0196371415963502	0.204335916614874	0.594615483035955	15	HRAS DNM1 GRK2 ARRB1 GNAS MAP2K1
BIOCARTA_BARR_MAPK_PATHWAY	0.741088478676003	1	0.0154549321065038	-0.321689304530025	-0.802453403660469	12	MAPK1 RAF1 KCNA2 MAPK3
BIOCARTA_BBCELL_PATHWAY	0.0277777777777778	0.615158081355265	0.137111915255226	0.663963842484402	1.6596600236416	9	CD40LG HLA-DRA CD4 CD28
BIOCARTA_BCELLSURVIVAL_PATHWAY	0.900218102508179	1	0.0205500563727138	0.229472888626529	0.66776382133295	15	MTOR ZBTB7A ITGB1 FOS JUND
BIOCARTA_BCR_PATHWAY	0.856765870107022	1	0.0121679430640358	-0.234612730051093	-0.740932676947833	33	MAP3K1 PRKCB RAF1 BTK MAPK8 SOS1 NFATC4 MAPK3 ELK1 NFATC2 SYK LYN PPP3CA
BIOCARTA_BIOPEPTIDES_PATHWAY	0.42478142900211	1	0.0230348108085409	-0.346684410165871	-1.02987351206469	25	JAK2 PRKCB CDK5 MAPK1 RAF1 MAPK8 SOS1 MAPK3 GNA11 PTK2B
BIOCARTA_BLYMPHOCYTE_PATHWAY	0.679666487358795	1	0.0248130741633458	0.311137524598795	0.83894309933928	12	HLA-DRA CR1
BIOCARTA_BOTULIN_PATHWAY	0.72041847041847	1	0.0176935774601743	-0.513464778355076	-0.847479190054164	3	VAMP2 CHRNA1
BIOCARTA_BTG2_PATHWAY	0.946991037131882	1	0.0188357640747817	0.231357552581262	0.595445526764914	10	NGF HOXB9 CCND1 PRMT1
BIOCARTA_CACAM_PATHWAY	0.0424242424242424	0.70438791190029	0.110534700747335	0.636204171614543	1.59027128126707	9	CAMKK1 CALM1 CAMK4 CAMKK2
BIOCARTA_CALCINEURIN_PATHWAY	0.999845105328377	1	0.010693053606363	-0.137618188774116	-0.37945018256516	18	PRKCB NFATC4 NFATC2 PPP3CA SP1 GNAQ PPP3CB PPP3CC NFATC1 CALM3 CALM2 SP3 CDKN1A NFATC3 PLCG1 PRKCA CALM1 MARCKS
BIOCARTA_CARDIACEGF_PATHWAY	0.837842138765118	1	0.013683303584327	-0.290829911383012	-0.72547470179814	12	EDN1 PRKCB
BIOCARTA_CARM1_PATHWAY	0.343252372526942	1	0.0277026891172911	-0.453982790491546	-1.1031474308879	11	CREBBP EP300
BIOCARTA_CARM_ER_PATHWAY	0.0510250569476082	0.761389521640091	0.0774315909249512	-0.49099274747023	-1.44350662133663	24	CREBBP EP300 ESR1 HDAC2 GRIP1 TBP MEF2C MED1 NRIP1 BRCA1
BIOCARTA_CASPASE_PATHWAY	0.322766570605187	1	0.0277523023408476	-0.383611848266992	-1.10935826033718	22	CASP9 APAF1 LMNB1 XIAP DFFA GZMB
BIOCARTA_CB1R_PATHWAY	0.976877234803337	1	0.0173157214400455	0.256461073050964	0.52721694530022	5	PLD3 CNR2 FAAH PLD2
BIOCARTA_CBL_PATHWAY	0.321469575200919	1	0.0292244316056432	-0.475071949194427	-1.12129997461771	10	CBL PRKCB
BIOCARTA_CCR3_PATHWAY	0.323317683881064	1	0.0282764277273184	-0.417295608914396	-1.11655392716528	16	PPP1R12B PRKCB MAPK1 RAF1
