pathway	pval	padj	log2err	ES	NES	size	leadingEdge
KEGG_ABC_TRANSPORTERS	0.970856102003643	1	0.0210430476328877	0.180316777622246	0.618258259530549	29	ABCA1 ABCB6 ABCD3 ABCC5 ABCG1 TAP1 ABCB9
KEGG_ACUTE_MYELOID_LEUKEMIA	0.991348032375105	1	0.00921301410947711	-0.166754699582329	-0.583838695484339	55	PIK3R3 PPARD MAPK1 RAF1 STAT5B JUP SOS1 PIK3R5 CHUK PIK3CG CCNA1 MAPK3 BRAF EIF4EBP1 NFKB1 PIK3R1 KIT RELA IKBKB AKT3 AKT1 IKBKG SOS2
KEGG_ADHERENS_JUNCTION	0.406906906906907	1	0.0221405126265323	-0.285730367087915	-1.03325813992065	66	FER CTNND1 CREBBP WASF1 LMO7 FARP2 EP300
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.31677237491191	1	0.0459169499433583	0.269741685626933	1.07051203972132	54	ACACB CAMKK1 MTOR TRAF2 PRKCQ TRADD ACSL6 CPT1A TNFRSF1A MAPK10 CPT1B ADIPOR1 PRKAG1 TNFRSF1B STK11 PPARGC1A CAMKK2 NFKBIA PRKAB1 NFKBIE
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.67778620166793	1	0.0160485588376775	-0.287728169820059	-0.857931189855482	25	GLS GOT1 CPS1 ABAT ASNS ADSL ALDH5A1
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.906231365533691	1	0.0115882875996984	-0.22278184789676	-0.686318143527499	29	PIK3R3 IRS1 PRKCB PDPK1 MAPK1
KEGG_ALLOGRAFT_REJECTION	0.702761402420106	1	0.0266646412737587	0.24315128234051	0.855868494478836	32	CD40LG HLA-DRA HLA-DOB HLA-DQB1 HLA-DQA2 HLA-DPB1 PRF1 HLA-A HLA-E CD86
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	0.677173360447382	1	0.0239439935823993	0.334081933282424	0.827690058525251	9	PLA2G4A PLA2G2D ACOX1
KEGG_ALZHEIMERS_DISEASE	0.891698735568994	1	0.032794521034311	0.180160126772516	0.851344730999284	148	CALML6 NDUFA4L2 PLCB3 APOE FADD NDUFA5 IL1B CYCS ATP5PD CHP1 NDUFB2 UQCRB ATP5F1D NDUFB3 NDUFC2 SDHB CACNA1D GRIN2D GRIN1 NDUFB8 MT-ATP8 TNFRSF1A COX6B1 GAPDH PLCB4 CALM1 ATP5MC1 IDE SDHA NDUFS8 NDUFB9 NDUFS3 ATP2A1 SDHC NDUFB4 UQCRH PSEN1 COX6C NDUFV2 ADAM17 NDUFA1
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	0.780434782608696	1	0.0133574602405635	-0.243870657995859	-0.803189944747303	40	SEPSECS TARS3 EARS2 FARSB AARS2 TARS2 YARS1 MARS2 EPRS1
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.362695789624946	1	0.0248328013216764	-0.318339835830818	-1.06482630952464	43	GALT NANP HEXA HEXB GNE UGDH GMDS FPGT GNPDA2 CMAS GNPNAT1 PMM2
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.915872494249096	1	0.0232125164221697	0.194823617880602	0.739019217550163	43	TOMM40L CYCS CHP1 GPX1 GRIN2D GRIN1 TNFRSF1A MAP2K6 MAPK13
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	0.388746803069054	1	0.0418206516609176	0.252987891215015	1.02941716207658	61	HLA-DRA KLRD1 CTSL HSPA2 KLRC1 HLA-DOB HLA-DQB1 KIR2DS4 CD4 HLA-DQA2 HLA-DPB1 HLA-A TAP1 HLA-E CTSB CD8A HSPA8 B2M HLA-B LTA PSME1 CD74 TAPBP
