	P03_delta11	P06_delta11	P09_delta11	P12_delta11	P14_delta11	P17_delta11	P19_delta11	P22_delta11	P25_delta11	P28_delta11	P31_delta11	P02_wt	P05_wt	P08_wt	P11_wt	P13_wt	P16_wt	P18_wt	P21_wt	P24_wt	P27_wt	P30_wt
5_8S_rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0
5S_rRNA	0	0	0	0	0	0	0.444444444444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7SK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1BG	4	3	0	0	1	2	3	0	8	0	0	1	1	0	0	0	0	0	0	4	0	0
A1BG-AS1	40	9	14	0	0	0	7	0	67	0	9	23	5	5	0	0	0	9	4	44	0	4
A1CF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M	25	5	1	0	0	0	3	0	15	0	0	18	1	8	0	0	0	0	0	45	0	0
A2M-AS1	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
A2ML1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2MP1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
A4GALT	49	9	46	0	0	4	12	0	144	0	4	15	17	13	0	0	0	5	0	73	0	0
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	427	178	144	19	15	100	413	12	1149	0	49	249	131	35	24	10	9	120	1	708	0	15
AACS	253	113	89	0	8	61	167	3	319	0	30	161	59	13	0	0	3	68	5	217	0	0
AACSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
AAGAB	261	115	106	8	4	82	229	0	671	0	38	180	78	31	6	4	7	60	2	535	0	5
AAK1	156	66	42	6	21	29	30	19	162	26	21	110	37	44	5	4	20	22	4	324	35	42
AAMDC	17	3	1	0	1	0	5	0	61	0	0	10	2	0	0	0	0	0	0	15	0	3
AAMP	655	213	317	42	27	165	601	33	1424	24	105	368	207	101	46	16	25	162	98	1097	56	42
AANAT	4	2	1	0	0	12	12	0	0	0	9	3	0	0	0	0	4	0	0	8	0	0
AAR2	231	83	110	5	11	84	239	3	622	0	16	149	65	34	4	7	8	48	8	452	1	3
AARD	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	0	0
AARS1	1649	1057	498	61	43	355	950	38	3128	39	211	750	700	118	17	66	67	350	38	1690	60	65
AARS1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARS2	230	88	75	0	20	68	190	1	433	0	27	142	71	25	13	0	7	62	3	387	0	18
AARSD1	13	0	2	0	0	3	35	0	22	0	0	6	9	1	6	0	4	4	0	15	0	0
AASDH	67	47	21	0	4	19	106	0	63	0	16	62	27	10	0	9	7	58	2	147	0	2
AASDHPPT	120	81	46	6	0	61	114	0	91	0	16	135	47	17	1	7	7	50	0	242	0	2
AASS	12	12	5	5	5	28	86	0	25	0	1	35	3	10	0	6	11	72	1	29	0	4
AATBC	1	6	1	0	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	3	0	0
AATF	379	164	201	17	31	103	437	2	1576	0	75	260	144	44	29	4	9	122	10	883	0	2
AATK	16	4	4	0	0	0	3	0	26	0	0	17	3	3	0	0	0	0	2	24	0	0
ABALON	2	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ABAT	89	37	53	5	9	52	148	2	75	0	24	70	30	10	0	4	10	55	2	90	0	14
ABBA01000933.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABBA01000935.2	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ABBA01006766.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABBA01045074.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABBA01045074.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA1	7	3	4	0	0	11	31	0	4	0	4	26	3	5	0	0	0	36	0	23	1	10
ABCA10	11	7	4	0	0	1	7	0	5	0	0	14	0	1	0	0	0	5	0	10	0	2
ABCA11P	1	2	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	6	0	0	0	0
ABCA12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA13	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCA17P	2	1	0	0	0	0	3	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0
ABCA2	313	82	80	0	41	126	163	82	213	48	30	229	43	88	12	20	55	166	68	497	89	65
ABCA3	52	11	23	0	1	7	70	0	72	0	4	26	9	13	0	4	5	24	0	88	0	4
ABCA4	6	1	0	0	0	0	0	4	0	2	4	1	1	0	0	0	0	0	1	1	3	4
ABCA5	157	133	35	0	13	57	151	8	73	14	45	198	46	37	5	18	8	62	9	122	35	42
ABCA6	34	19	8	0	3	27	66	0	16	0	11	28	19	5	0	0	0	3	3	13	0	0
ABCA7	1448	494	583	36	122	886	2276	16	1370	0	323	1078	400	157	43	43	88	740	20	983	1	72
ABCA8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9	3	7	2	0	4	2	2	0	0	0	0	3	3	2	0	0	0	0	0	0	0	0
ABCA9-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	51	6	22	0	14	83	146	1	32	3	36	46	4	26	7	3	12	128	1	170	7	10
ABCB10	105	65	34	7	4	103	154	0	44	0	20	99	19	19	7	4	27	98	2	228	0	3
