	P01_mock	P04_mock	P07_mock	P10_mock	P15_mock	P20_mock	P23_mock	P26_mock	P29_mock	P02_wt	P05_wt	P08_wt	P11_wt	P13_wt	P16_wt	P18_wt	P21_wt	P24_wt	P27_wt	P30_wt
5_8S_rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0
5S_rRNA	0	0	0	0	0	0	0.111111111111111	0	0	0	0	0	0	0	0	0	0	0	0	0
7SK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1BG	2	0	0	0	3	4	1	0	0	1	1	0	0	0	0	0	0	4	0	0
A1BG-AS1	6	15	4	0	4	5	49	0	4	23	5	5	0	0	0	9	4	44	0	4
A1CF	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2M	11	5	10	0	0	0	59	0	0	18	1	8	0	0	0	0	0	45	0	0
A2M-AS1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
A2ML1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2MP1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
A3GALT2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
A4GALT	7	9	4	3	0	0	56	0	0	15	17	13	0	0	0	5	0	73	0	0
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	96	155	31	6	10	3	482	0	32	249	131	35	24	10	9	120	1	708	0	15
AACS	51	99	12	1	8	17	195	0	7	161	59	13	0	0	3	68	5	217	0	0
AACSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
AAGAB	71	85	20	13	8	0	423	0	12	180	78	31	6	4	7	60	2	535	0	5
AAK1	48	68	7	15	6	18	191	36	26	110	37	44	5	4	20	22	4	324	35	42
AAMDC	0	3	1	0	0	0	34	0	0	10	2	0	0	0	0	0	0	15	0	3
AAMP	198	211	96	33	63	34	833	46	67	368	207	101	46	16	25	162	98	1097	56	42
AANAT	1	0	0	0	4	2	3	0	0	3	0	0	0	0	4	0	0	8	0	0
AAR2	67	65	23	0	25	9	318	0	7	149	65	34	4	7	8	48	8	452	1	3
AARD	0	0	0	0	0	0	4	0	0	1	1	0	0	0	0	0	0	3	0	0
AARS1	252	798	95	39	111	36	1249	44	202	750	700	118	17	66	67	350	38	1690	60	65
AARS1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARS2	39	64	5	8	14	8	248	0	7	142	71	25	13	0	7	62	3	387	0	18
AARSD1	2	5	0	0	5	2	13	0	0	6	9	1	6	0	4	4	0	15	0	0
AASDH	17	29	6	5	4	0	115	0	6	62	27	10	0	9	7	58	2	147	0	2
