pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0.000232531101034763	0.00491829287640806	0.529360249174688	1.83865592353416	1	43	GCK PDHA1 ALDH2 ALDH7A1 PFKM AKR1A1 PCK2 TPI1 ENO1 PFKL GPI BPGM PGM1 ALDOB GAPDH PFKP ALDH3B1 DLD FBP1 PGM2 ADH5 ALDOC ALDOA ACSS2 HK1 LDHB ACSS1 DLAT ALDH3A2 PGAM1 HK3
KEGG_CITRATE_CYCLE_TCA_CYCLE	0.0387221684414327	0.133376357964935	0.455743643398188	1.47050413669806	319	29	SDHB FH IDH2 IDH3B PDHA1 MDH2 PCK2 SUCLG1 CS DLD SDHA SDHC
KEGG_PENTOSE_PHOSPHATE_PATHWAY	0.00397960452680015	0.0274150534068455	0.556095193549274	1.71767690838252	31	24	TALDO1 PGLS PGD PFKM PFKL TKT GPI DERA PGM1 ALDOB PFKP G6PD FBP1 PGM2 ALDOC ALDOA RBKS
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	0.142758334486098	0.316107740647788	0.53222348400171	1.30849748707255	1031	10	AKR1B1 DCXR GUSB CRYL1 UGT2B17 UGDH
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	0.00276475537925231	0.0223584565452578	0.521295286615699	1.71294356044213	22	32	PHPT1 AKR1B1 PFKM FCSK GMPPA TPI1 MTMR1 PFKL GMPPB ALDOB TSTA3 PFKP MPI FBP1 ALDOC ALDOA HK1 PMM1
KEGG_GALACTOSE_METABOLISM	0.00378787878787879	0.0270979020979021	0.58395548279729	1.7487020827938	29	21	GLA GCK AKR1B1 GALE PFKM GLB1 GALK1 PFKL PGM1 PFKP GANC PGM2 B4GALT1 HK1
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	0.213270815572606	0.389411682087115	0.530718376783051	1.22369395281589	1500	8	ALDH2 ALDH7A1 MIOX UGT2B17 UGDH ALDH3A2 ALDH9A1 ALDH1B1
KEGG_FATTY_ACID_METABOLISM	0.00143764226668264	0.0141058698619748	0.533834092051518	1.76607674267268	11	33	ACADS ECI1 ALDH2 GCDH ALDH7A1 HADHB ECHS1 ACADVL CPT1A ACAA2 ACADM EHHADH ACAA1 HADHA ACAT2 ADH5 ACOX3 HADH CPT1B
KEGG_STEROID_BIOSYNTHESIS	0.215472481827622	0.389411682087115	0.427445252360171	1.21576941119335	1659	17	EBP TM7SF2 DHCR7 DHCR24 NSDHL CYP51A1 SQLE SOAT2 CEL FDFT1 LSS SOAT1
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	0.889700716594071	0.943290129611167	0.277077719328492	0.661636253556146	6331	9	CYP27A1 SLC27A5 CYP46A1
